,Hotel,Link_hotel
63,San Ysidro Ranch,http://www.sanysidroranch.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing
64,The Goring,https://www.thegoring.com/?utm_source=google&utm_medium=local&utm_campaign=hotel-thegoring
65,The Oberoi Rajvilas,https://www.oberoihotels.com/hotels-in-jaipur-rajvilas-resort/?utm_source=GMBlisting&utm_medium=organic
66,Palm Island Resort,http://www.palmisland.com/
67,Hotel Savoy,https://www.roccofortehotels.com/hotels-and-resorts/hotel-savoy/offers/a-romantic-love-escape-in-florence/?gclid=EAIaIQobChMIno7-y5CS_QIVwuFRCh3_mQF9EAAYASAAEgIbLPD_BwE
68,Rambagh Palace,https://www.tajhotels.com/en-in/taj/rambagh-palace-jaipur/?utm_source=Google&utm_campaign=Taj-Rambagh-Palace-Jaipur&utm_medium=Local
69,Curtain Bluff,http://curtainbluff.com/
70,"Morrison House Old Town Alexandria, Autograph Collection",https://www.marriott.com/en-us/hotels/wasmh-morrison-house-old-town-alexandria-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
71,"The Lytle Park Hotel, Autograph Collection",https://www.marriott.com/en-us/hotels/cvgak-the-lytle-park-hotel-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
72,Twin Farms,https://www.twinfarms.com/?NCK=8669918178&utm_source=google&utm_medium=local&utm_campaign=gmb_listing
73,Deer Path Inn,https://www.thedeerpathinn.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing
74,One&Only Nyungwe House,https://www.oneandonlyresorts.com/nyungwe-house?utm_source=GMBlisting&utm_medium=organic&utm_campaign=oonh-nyungwe-house-gmb
75,W Santiago,https://www.marriott.com/en-us/hotels/sclwh-w-santiago/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
